中国科学院大学	430	433	-13
清华大学	305	306	-4
北京大学	206	205	-4
上海交通大学	260	255	4
浙江大学	272	271	19
复旦大学	204	205	2
中山大学	222	222	9
华中科技大学	194	193	-16
中国科学技术大学	165	162	3
南京大学	131	132	0
四川大学	147	148	0
武汉大学	353	352	7
中南大学	82	84	-6
山东大学	105	106	8
西安交通大学	345	344	30
吉林大学	-279	-276	-42
哈尔滨工业大学	111	110	15
华南理工大学	155	157	2
同济大学	108	108	1
苏州大学	93	98	1
